,Name,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
124,Lucas Nogueira,5.0,84.0,220,16,28.0,1,0,"{u'raw': 4, u'best': 4, u'spanish': 4}"
125,Dennis Schroeder,1.0,74.0,165,17,34.0,3,0,"{u'german': 2, u'international': 3, u'open': 2}"
126,Shane Larkin,1.0,71.0,171,18,44.0,3,2,"{u'heavy': 1, u'different': 1, u'prolific': 1}"
127,Sergey Karasev,3.0,79.0,197,19,,3,0,"{u'russian': 5, u'good': 5, u'old': 5}"
128,Gorgui Dieng,5.0,83.0,230,21,,1,0,"{u'upper': 1, u'key': 1, u'defensive': 2}"
129,Mason Plumlee,5.0,84.0,238,22,36.0,1,0,"{u'great': 8, u'offensive': 8, u'excellent': 8}"
130,Solomon Hill,3.0,79.0,226,23,37.5,3,2,{u'long': 1}
131,Reggie Bullock,3.0,79.0,200,25,36.5,3,0,"{u'solid': 4, u'good': 5, u'nice': 6}"
132,Rudy Gobert,5.0,86.0,238,27,29.0,1,0,"{u'big': 2, u'impressive': 2, u'significant': 3}"
133,Livio Jean-Charles,3.5,81.0,217,28,,3,0,"{u'limited': 2, u'consistent': 3, u'great': 3}"
134,Archie Goodwin,2.0,77.0,189,29,36.0,3,0,"{u'offensive': 3, u'best': 5, u'capable': 4}"
135,Nemanja Nedovic,1.5,76.0,200,30,35.0,3,0,"{u'solid': 5, u'able': 3, u'european': 5}"
136,Allen Crabbe,2.0,78.0,197,31,36.0,3,0,"{u'good': 5, u'explosive': 1, u'focal': 2}"
137,Alex Abrines,2.0,77.0,190,32,,3,0,"{u'international': 1, u'significant': 1, u'spanish': 2}"
138,Isaiah Canaan,1.0,72.0,188,34,40.5,3,2,{u'long': 1}
139,Glen Rice,3.0,78.0,211,35,40.5,0,0,"{u'wrong': 4, u'good': 3, u'best': 2}"
140,Ray McCallum,1.0,74.0,191,36,40.0,3,0,"{u'terrific': 2, u'outstanding': 2, u'excellent': 5}"
141,Tony Mitchell,4.0,81.0,236,37,38.0,3,0,"{u'major': 4, u'offensive': 3, u'physical': 5}"
142,Nate Wolters,1.0,77.0,196,38,,3,0,"{u'lateral': 2, u'physical': 2, u'excellent': 3}"
143,Jeff Withey,5.0,84.0,222,39,29.0,1,0,"{u'good': 2, u'excellent': 3, u'physical': 3}"
144,Grant Jerrett,4.0,82.0,232,40,34.0,1,0,"{u'great': 2, u'able': 4, u'excellent': 2}"
145,Pierre Jackson,1.0,70.0,176,42,,3,0,"{u'solid': 1, u'athletic': 1, u'historical': 1}"
146,Ricky Ledo,2.0,78.0,197,43,33.5,0,0,"{u'terrific': 3, u'good': 4, u'long': 3}"
147,Mike Muscala,5.0,83.0,230,44,33.5,1,0,"{u'good': 2, u'offensive': 2, u'best': 2}"
148,Marko Todorovic,5.0,83.0,240,45,,3,2,"{u'small': 1, u'massive': 1, u'best': 1}"
149,Erick Green,1.5,75.0,178,46,,3,0,"{u'low': 3, u'long': 2, u'fourth': 2}"
150,Raul Neto,1.0,74.0,179,47,30.0,3,0,"{u'brazilian': 3, u'good': 5, u'excellent': 4}"
151,Ryan Kelly,4.0,84.0,228,48,,3,0,"{u'good': 2, u'best': 2, u'excellent': 2}"
152,Erik Murphy,4.0,82.0,240,49,29.5,1,0,"{u'big': 5, u'good': 7, u'nice': 6}"
