,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
452,Thaddeus Young,2007,3.0,80.0,210,12,37.0,0,0,"{u'small': 11, u'good': 16, u'offensive': 9}"
453,Julian Wright,2007,3.5,81.0,211,13,33.5,0,2,"{u'good': 8, u'offensive': 11, u'mid': 8}"
454,Al Thornton,2007,3.5,79.0,221,14,41.0,0,0,"{u'small': 7, u'quick': 6, u'good': 5}"
455,Rodney Stuckey,2007,1.5,77.0,207,15,35.0,2,1,"{u'great': 10, u'mid': 4, u'best': 6}"
456,Nick Young,2007,2.5,79.0,206,16,40.5,2,1,"{u'solid': 8, u'good': 12, u'impressive': 9}"
457,Sean Williams,2007,5.0,82.0,230,17,,0,2,"{u'big': 7, u'good': 8, u'raw': 7}"
458,Marco Belinelli,2007,2.0,77.0,192,18,,2,1,"{u'good': 31, u'best': 14, u'nice': 13}"
459,Javaris Crittenton,2007,1.0,77.0,194,19,38.0,1,1,"{u'terrific': 3, u'outside': 3, u'good': 7}"
460,Jason Smith,2007,4.5,84.0,233,20,37.5,2,0,"{u'hard': 3, u'impressive': 5, u'nice': 6}"
461,Daequan Cook,2007,2.0,78.0,203,21,34.5,2,1,"{u'offensive': 6, u'good': 8, u'able': 8}"
462,Jared Dudley,2007,3.5,79.0,219,22,32.0,0,1,"{u'small': 9, u'offensive': 6, u'nice': 8}"
463,Wilson Chandler,2007,3.5,80.0,210,23,,2,0,"{u'great': 9, u'good': 6, u'nice': 5}"
464,Rudy Fernandez,2007,2.0,78.0,172,24,35.5,2,2,"{u'great': 14, u'good': 18, u'nice': 16}"
465,Morris Almond,2007,2.5,78.0,215,25,35.5,2,1,"{u'good': 4, u'nice': 5, u'excellent': 6}"
466,Aaron Brooks,2007,1.0,72.0,160,26,39.5,1,1,"{u'solid': 9, u'good': 11, u'able': 8}"
467,Arron Afflalo,2007,2.5,77.0,206,27,,2,1,"{u'second': 5, u'good': 8, u'tough': 5}"
468,Tiago Splitter,2007,4.5,84.0,245,28,31.5,0,2,"{u'good': 43, u'offensive': 40, u'low': 37}"
469,Alando Tucker,2007,3.0,77.0,205,29,,2,1,"{u'big': 5, u'consistent': 5, u'good': 10}"
470,Petteri Koponen,2007,1.0,77.0,194,30,,1,1,"{u'great': 12, u'good': 9, u'young': 9}"
471,Carl Landry,2007,4.0,81.0,248,31,36.5,0,2,"{u'great': 6, u'good': 9, u'mid': 6}"
472,Gabe Pruitt,2007,1.0,76.0,170,32,,1,1,"{u'terrific': 3, u'good': 5, u'open': 3}"
473,Marcus Williams,2007,3.0,79.0,205,33,,2,0,"{u'good': 15, u'mid': 7, u'easy': 6}"
474,Nick Fazekas,2007,4.5,83.0,225,34,,0,2,"{u'big': 19, u'good': 20, u'offensive': 12}"
475,Glen Davis,2007,5.0,80.0,310,35,,0,2,"{u'big': 7, u'good': 6, u'best': 7}"
476,Jermareo Davidson,2007,4.5,83.0,230,36,30.0,0,2,"{u'big': 9, u'good': 8, u'nice': 10}"
477,Josh McRoberts,2007,4.5,82.0,240,37,31.5,0,2,"{u'open': 8, u'good': 11, u'able': 11}"
478,Kyrylo Fesenko,2007,5.0,85.0,270,38,,0,2,"{u'big': 6, u'long': 4, u'nice': 4}"
479,Stanko Barac,2007,5.0,85.0,230,39,,0,2,"{u'big': 9, u'good': 7, u'nice': 10}"
480,Sun Yue,2007,1.0,81.0,212,40,34.0,1,1,"{u'skinny': 4, u'good': 5, u'hard': 4}"
481,Chris Richard,2007,4.0,81.0,252,41,30.5,0,2,"{u'tough': 3, u'strong': 4, u'offensive': 4}"
482,Derrick Byars,2007,2.5,79.0,215,42,,2,1,"{u'good': 6, u'defensive': 5, u'best': 5}"
483,Adam Haluska,2007,2.0,77.0,210,43,,2,1,"{u'good': 9, u'mid': 5, u'strong': 5}"
484,Reyshawn Terry,2007,3.0,80.0,222,44,37.5,2,1,"{u'great': 4, u'good': 4, u'nice': 5}"
485,Jared Jordan,2007,1.0,74.0,182,45,28.5,1,1,"{u'great': 7, u'good': 8, u'excellent': 8}"
486,Stephane Lasme,2007,4.5,79.0,213,46,36.0,0,2,"{u'good': 14, u'offensive': 9, u'defensive': 7}"
487,Dominic McGuire,2007,3.0,80.0,220,47,34.5,0,2,"{u'athletic': 6, u'great': 6, u'nice': 10}"
488,Marc Gasol,2007,5.0,85.0,265,48,,0,2,"{u'big': 11, u'low': 9, u'nice': 14}"
489,Aaron Gray,2007,5.0,86.0,272,49,32.5,0,2,"{u'big': 10, u'good': 20, u'able': 10}"
490,Renaldas Seibutis,2007,2.0,78.0,185,50,32.5,2,1,"{u'good': 15, u'right': 5, u'strong': 5}"
491,Jameson Curry,2007,1.5,75.0,190,51,,1,1,"{u'good': 3, u'offensive': 3, u'outstanding': 3}"
492,Taurean Green,2007,1.0,73.0,173,52,32.5,1,1,"{u'big': 12, u'great': 12, u'best': 11}"
493,Demetris Nichols,2007,3.0,80.0,211,53,32.5,2,0,"{u'small': 5, u'good': 16, u'able': 5}"
494,Brad Newley,2007,2.0,79.0,201,54,31.5,2,1,"{u'athletic': 3, u'good': 7, u'nice': 4}"
495,Herbert Hill,2007,4.5,82.0,232,55,34.0,0,2,"{u'good': 15, u'offensive': 11, u'mid': 9}"
496,Ramon Sessions,2007,1.0,76.0,185,56,33.5,1,1,"{u'solid': 7, u'great': 9, u'good': 9}"
497,Sammy Mejia,2007,1.0,79.0,218,57,31.5,2,1,"{u'second': 4, u'good': 7, u'nice': 4}"
498,Giorgos Printezis,2007,3.5,81.0, 22,58,,2,2,"{u'small': 5, u'good': 6, u'nice': 5}"
499,D.J. Strawberry,2007,2.0,77.0,199,59,35.0,1,1,"{u'great': 12, u'good': 17, u'defensive': 11}"
500,Andrea Bargnani,2006,4.5,82.0,225,1,,0,2,"{u'big': 15, u'great': 12, u'good': 11}"
501,LaMarcus Aldridge,2006,4.5,83.0,235,2,34.0,0,2,"{u'big': 26, u'good': 22, u'offensive': 11}"
502,Adam Morrison,2006,3.0,80.0,200,3,30.5,2,1,"{u'great': 10, u'able': 10, u'defensive': 9}"
503,Tyrus Thomas,2006,4.0,80.0,220,4,39.5,0,2,"{u'good': 14, u'offensive': 15, u'outstanding': 11}"
504,Shelden Williams,2006,4.5,81.0,260,5,33.5,0,2,"{u'solid': 13, u'good': 8, u'able': 11}"
505,Brandon Roy,2006,2.0,78.0,210,6,40.5,1,1,"{u'good': 13, u'able': 12, u'best': 11}"
506,Randy Foye,2006,2.0,74.0,215,7,38.0,1,1,"{u'big': 10, u'good': 10, u'excellent': 9}"
507,Rudy Gay,2006,3.0,80.0,225,8,40.5,0,1,"{u'better': 11, u'great': 19, u'good': 17}"
508,Hilton Armstrong,2006,4.5,82.0,240,12,31.5,0,2,"{u'consistent': 10, u'good': 22, u'great': 10}"
509,Ronnie Brewer,2006,2.5,79.0,225,14,41.0,1,1,"{u'better': 18, u'good': 20, u'able': 12}"
510,Cedric Simmons,2006,4.5,82.0,225,15,35.0,0,2,"{u'big': 5, u'great': 6, u'foul': 5}"
511,Rodney Carney,2006,3.0,78.0,205,16,38.5,2,1,"{u'athletic': 7, u'good': 6, u'physical': 10}"
512,Shawne Williams,2006,3.5,81.0,230,17,31.0,2,0,"{u'terrific': 4, u'great': 5, u'good': 5}"
513,Oleksiy Pecherov,2006,4.0,84.0,210,18,,0,2,"{u'good': 16, u'offensive': 7, u'nice': 15}"
514,Quincy Douby,2006,1.5,75.0,175,19,,2,1,"{u'good': 5, u'offensive': 5, u'best': 5}"
515,Renaldo Balkman,2006,3.5,79.0,210,20,35.0,2,0,"{u'good': 5, u'strong': 3, u'defensive': 4}"
516,Rajon Rondo,2006,1.0,73.0,175,21,,1,1,"{u'defensive': 11, u'best': 12, u'excellent': 11}"
517,Josh Boone,2006,5.0,82.0,240,23,,0,2,"{u'big': 10, u'good': 8, u'offensive': 9}"
518,Kyle Lowry,2006,1.0,72.0,175,24,,1,1,"{u'good': 7, u'able': 6, u'defensive': 8}"
519,Shannon Brown,2006,2.0,76.0,205,25,,2,0,"{u'solid': 7, u'consistent': 5, u'outstanding': 6}"
520,Jordan Farmar,2006,1.0,74.0,175,26,42.0,1,1,"{u'great': 12, u'good': 12, u'best': 10}"
521,Sergio Rodriguez,2006,1.0,75.0,170,27,,1,1,"{u'great': 15, u'good': 16, u'spanish': 14}"
522,Maurice Ager,2006,2.5,77.0,205,28,35.0,2,1,"{u'athletic': 3, u'nice': 3, u'capable': 3}"
523,Mardy Collins,2006,1.0,78.0,225,29,37.5,1,1,"{u'offensive': 7, u'good': 9, u'able': 8}"
524,Joel Freeland,2006,4.0,82.0,225,30,,0,2,"{u'solid': 4, u'good': 6, u'excellent': 5}"
525,James White,2006,2.5,79.0,200,31,,1,1,"{u'open': 5, u'great': 5, u'able': 8}"
526,Steve Novak,2006,3.5,81.0,220,32,31.0,2,1,"{u'small': 6, u'big': 6, u'good': 9}"
527,Solomon Jones,2006,4.5,82.0,225,33,39.0,0,2,"{u'big': 9, u'senior': 9, u'good': 10}"
528,Paul Davis,2006,4.5,83.0,270,34,,0,2,"{u'big': 3, u'consistent': 2, u'best': 2}"
529,PJ Tucker,2006,3.5,77.0,225,35,,2,2,"{u'small': 6, u'mid': 6, u'superb': 4}"
530,Craig Smith,2006,4.0,79.0,260,36,29.5,2,0,"{u'good': 6, u'impressive': 5, u'physical': 5}"
531,Bobby Jones,2006,3.0,79.0,215,37,34.5,2,1,"{u'great': 8, u'offensive': 12, u'defensive': 20}"
532,Kosta Perovic,2006,5.0,86.0,240,38,,0,2,"{u'poor': 11, u'good': 19, u'soft': 13}"
533,David Noel,2006,3.5,78.0,225,39,38.5,2,0,"{u'great': 2, u'strong': 2, u'excellent': 3}"
534,Denham Brown,2006,2.5,77.0,220,40,34.5,2,1,"{u'solid': 4, u'good': 6, u'tough': 3}"
535,James Augustine,2006,4.0,82.0,230,41,32.5,0,2,"{u'big': 7, u'good': 7, u'nice': 9}"
536,Daniel Gibson,2006,2.0,74.0,190,42,,1,1,"{u'great': 5, u'good': 11, u'excellent': 9}"
537,Lior Eliyahu,2006,4.0,81.0,225,44,,0,2,"{u'small': 7, u'israeli': 8, u'right': 7}"
538,Alexander Johnson,2006,4.0,81.0,240,45,,0,2,"{u'new': 7, u'good': 8, u'big': 6}"
